,RMNH.INS.1271298_An_messeae - COX1 gene,RMNH.INS.1271299_An_messeae - COX1 gene,RMNH.INS.1271300_An_messeae - COX1 gene,RMNH.INS.1271301_Cq_richiardii - COX1 gene,RMNH.INS.1271302_Cq_richiardii - COX1 gene,RMNH.INS.1271303_Cq_richiardii - COX1 gene,RMNH.INS.1271304_Ae_vexans - COX1 gene,RMNH.INS.1271305_Ae_vexans - COX1 gene,RMNH.INS.1271306_Ae_vexans - COX1 gene,RMNH.INS.1271307_Cs_annulata - COX1 gene,RMNH.INS.1271308_Cs_annulata - COX1 gene,RMNH.INS.1271309_Cs_annulata - COX1 gene,RMNH.INS.1271310_An_claviger - COX1 gene,RMNH.INS.1271311_An_claviger - COX1 gene,RMNH.INS.1271312_An_claviger - COX1 gene,RMNH.INS.1271313_Cx_modestus - COX1 gene,RMNH.INS.1271314_Cx_modestus - COX1 gene,RMNH.INS.1271315_Cx_modestus - COX1 gene,RMNH.INS.1271316_Cx_territans - COX1 gene,RMNH.INS.1271317_Cx_territans - COX1 gene,RMNH.INS.1271318_Cx_territans - COX1 gene,RMNH.INS.1271319_Ae_cinereus - COX1 gene,RMNH.INS.1271320_Ae_cinereus - COX1 gene,RMNH.INS.1271321_Ae_cinereus - COX1 gene,RMNH.INS.1271322_Cs_longiareolata - COX1 gene,RMNH.INS.1271323_Cs_longiareolata - COX1 gene,RMNH.INS.1271324_Cs_longiareolata - COX1 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 gene,RMNH.INS.1271331_Ae_rusticus - COX1 gene,RMNH.INS.1271332_Ae_rusticus - COX1 gene,RMNH.INS.1271333_Ae_rusticus - COX1 gene,RMNH.INS.1271334_Ae_communis - COX1 gene,RMNH.INS.1271335_Ae_communis - COX1 gene,RMNH.INS.1271336_Ae_communis - COX1 gene,RMNH.INS.1271337_Ae_punctor - COX1 gene,RMNH.INS.1271338_Ae_rusticus - COX1 gene,RMNH.INS.1271339_Ae_punctor - COX1 gene,RMNH.INS.1271340_Ae_geniculatus - COX1 gene,RMNH.INS.1271341_Ae_geniculatus - COX1 gene,RMNH.INS.1271342_Ae_geniculatus - COX1 gene,RMNH.INS.1271344_Cs_subochrea - COX1 gene,RMNH.INS.1271345_Cs_annulata - COX1 gene,RMNH.INS.1271346_Ae_caspius - COX1 gene,RMNH.INS.1271347_Ae_caspius - COX1 gene,RMNH.INS.1271348_Ae_caspius - COX1 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX1 gene,RMNH.INS.1271352_Cs_annulata - COX1 gene,RMNH.INS.1271354_Cs_annulata - COX1 gene,RMNH.INS.1271355_Cx_pipiens - COX1 gene,RMNH.INS.1271356_Cx_pipiens - COX1 gene,RMNH.INS.1271357_Cx_pipiens - COX1 gene,RMNH.INS.1271358_Cs_morsitans - COX1 gene,RMNH.INS.1271359_Cs_morsitans - COX1 gene,RMNH.INS.1271360_Cs_morsitans - COX1 gene,RMNH.INS.1271361_Ae_sticticus - COX1 gene,RMNH.INS.1271362_Ae_sticticus - COX1 gene,RMNH.INS.1271363_Ae_sticticus - COX1 gene,RMNH.INS.1271367_Ae_detritus - COX1 gene,RMNH.INS.1271368_Ae_detritus - COX1 gene,RMNH.INS.1271369_Ae_caspius - COX1 gene,RMNH.INS.1271370_Ae_flavescens - COX1 gene,RMNH.INS.1271371_Ae_flavescens - COX1 gene,RMNH.INS.1271372_Ae_flavescens - COX1 gene,RMNH.INS.1271375_Ae_leucomelas - COX1 gene,RMNH.INS.1271376_Ae_albopictus - COX1 gene,RMNH.INS.1271377_Ae_albopictus - COX1 gene,RMNH.INS.1271378_Ae_albopictus - COX1 gene,RMNH.INS.1271379_Ae_japonicus - COX1 gene,RMNH.INS.1271380_Ae_japonicus - COX1 gene,RMNH.INS.1271381_Ae_japonicus - COX1 gene,RMNH.INS.1271382_Ae_aegypti - COX1 gene,RMNH.INS.1271383_Ae_aegypti - COX1 gene,RMNH.INS.1271384_Ae_aegypti - COX1 gene,RMNH.INS.1271386_Ae_cinereus - COX1 gene,RMNH.INS.1271389_Cs_ochroptera - COX1 gene
RMNH.INS.1271298_An_messeae - COX1 gene,,99.805,99.092,84.306,84.176,84.176,86.9,86.9,86.9,86.965,86.9,86.835,88.586,88.586,88.521,86.187,86.187,85.992,85.863,85.733,85.863,86.511,86.511,86.511,85.927,85.927,85.927,85.798,85.992,86.316,85.798,86.057,85.927,86.381,86.316,86.316,86.511,86.641,86.641,85.733,86.252,85.733,85.668,85.668,85.668,86.719,86.9,87.354,87.484,87.613,87.743,87.743,87.743,86.9,86.9,86.835,86.9,86.835,85.279,85.149,85.149,85.473,85.473,85.409,86.576,86.77,87.419,85.733,85.733,85.733,86.511,86.187,86.187,86.122,86.965,86.965,87.16,85.927,86.446,85.992,86.381,86.381
RMNH.INS.1271299_An_messeae - COX1 gene,99.805,,99.027,84.241,84.112,84.112,86.965,86.965,86.965,87.16,87.095,87.03,88.651,88.651,88.586,86.381,86.381,86.187,86.057,85.927,86.057,86.576,86.576,86.576,85.992,85.992,85.992,85.992,86.187,86.511,85.992,86.252,86.122,86.446,86.381,86.381,86.576,86.706,86.706,85.927,86.316,85.927,85.863,85.863,85.863,86.914,87.095,87.549,87.678,87.808,87.938,87.938,87.938,87.095,87.095,87.03,87.095,87.03,85.473,85.344,85.344,85.668,85.668,85.603,86.77,86.965,87.613,85.927,85.927,85.927,86.446,86.381,86.381,86.316,87.16,87.16,87.354,86.122,86.641,86.187,86.576,86.576
RMNH.INS.1271300_An_messeae - COX1 gene,99.092,99.027,,84.241,84.241,84.241,87.03,87.03,87.03,87.03,86.965,86.9,88.651,88.651,88.586,86.187,86.316,86.122,86.252,86.122,86.252,86.446,86.446,86.446,86.187,86.187,86.187,86.057,86.252,86.446,86.057,86.316,86.187,86.641,86.576,86.576,86.77,86.9,86.9,85.538,86.511,85.538,85.733,85.733,85.733,86.719,86.965,87.419,87.678,87.808,87.873,87.873,87.873,86.965,86.965,86.835,86.9,86.835,85.733,85.603,85.603,85.668,85.668,85.603,86.706,87.16,87.613,85.863,85.863,85.863,86.641,86.122,86.122,86.057,87.289,87.289,87.484,85.992,86.511,86.576,86.316,86.576
RMNH.INS.1271301_Cq_richiardii - COX1 gene,84.306,84.241,84.241,,99.805,99.805,85.992,86.057,85.927,85.668,85.733,85.668,85.279,85.409,85.279,87.03,87.03,86.965,85.668,85.538,85.409,84.955,84.955,84.955,86.381,86.381,86.381,84.825,84.89,84.76,84.825,84.565,84.565,85.733,85.538,85.668,85.473,85.668,85.668,84.695,85.603,84.695,85.992,85.992,85.992,85.742,85.733,85.344,85.603,85.668,85.214,85.214,85.214,85.733,85.733,86.77,86.835,86.9,84.89,84.825,84.825,85.538,85.538,85.473,84.501,84.501,85.798,84.76,84.76,84.565,85.409,84.955,84.955,84.825,85.992,85.992,86.057,85.409,85.538,85.538,84.955,85.863
RMNH.INS.1271302_Cq_richiardii - COX1 gene,84.176,84.112,84.241,99.805,,100,85.863,85.927,85.798,85.473,85.538,85.473,85.149,85.279,85.149,86.835,86.835,86.77,85.538,85.538,85.409,84.89,84.89,84.89,86.187,86.187,86.187,84.695,84.76,84.63,84.695,84.436,84.436,85.733,85.538,85.668,85.473,85.538,85.538,84.565,85.603,84.565,85.798,85.798,85.798,85.547,85.538,85.214,85.473,85.538,85.149,85.149,85.149,85.538,85.538,86.576,86.641,86.706,84.825,84.76,84.76,85.344,85.344,85.279,84.306,84.436,85.668,84.63,84.63,84.436,85.409,84.76,84.76,84.63,85.927,85.927,85.992,85.214,85.344,85.473,84.89,85.798
RMNH.INS.1271303_Cq_richiardii - COX1 gene,84.176,84.112,84.241,99.805,100,,85.863,85.927,85.798,85.473,85.538,85.473,85.149,85.279,85.149,86.835,86.835,86.77,85.538,85.538,85.409,84.89,84.89,84.89,86.187,86.187,86.187,84.695,84.76,84.63,84.695,84.436,84.436,85.733,85.538,85.668,85.473,85.538,85.538,84.565,85.603,84.565,85.798,85.798,85.798,85.547,85.538,85.214,85.473,85.538,85.149,85.149,85.149,85.538,85.538,86.576,86.641,86.706,84.825,84.76,84.76,85.344,85.344,85.279,84.306,84.436,85.668,84.63,84.63,84.436,85.409,84.76,84.76,84.63,85.927,85.927,85.992,85.214,85.344,85.473,84.89,85.798
RMNH.INS.1271304_Ae_vexans - COX1 gene,86.9,86.965,87.03,85.992,85.863,85.863,,99.87,99.87,87.743,87.743,87.743,85.992,86.057,86.057,88.846,88.911,88.975,86.965,86.835,86.706,89.624,89.624,89.559,87.289,87.289,87.289,90.208,90.208,90.013,90.208,90.208,90.078,91.505,91.569,91.569,89.818,90.013,90.013,88.846,91.505,88.846,89.17,89.17,89.17,88.021,87.743,90.661,90.856,90.726,86.511,86.511,86.511,87.743,87.743,89.494,89.559,89.494,87.224,87.03,87.03,89.948,89.948,89.754,89.235,89.364,90.726,90.078,90.078,90.272,90.143,89.17,89.17,89.04,89.429,89.429,89.494,90.597,90.467,90.532,89.624,88.975
RMNH.INS.1271305_Ae_vexans - COX1 gene,86.9,86.965,87.03,86.057,85.927,85.927,99.87,,99.805,87.808,87.808,87.808,86.057,86.122,86.122,88.911,88.975,89.04,87.03,86.9,86.77,89.689,89.689,89.624,87.354,87.354,87.354,90.272,90.272,90.078,90.272,90.272,90.143,91.569,91.634,91.634,89.883,90.078,90.078,88.911,91.569,88.911,89.235,89.235,89.235,88.086,87.808,90.726,90.921,90.791,86.576,86.576,86.576,87.808,87.808,89.494,89.559,89.494,87.289,87.095,87.095,90.013,90.013,89.818,89.3,89.429,90.791,90.143,90.143,90.337,90.208,89.235,89.235,89.105,89.494,89.494,89.559,90.597,90.467,90.532,89.689,88.975
RMNH.INS.1271306_Ae_vexans - COX1 gene,86.9,86.965,87.03,85.927,85.798,85.798,99.87,99.805,,87.678,87.678,87.678,85.992,86.057,86.057,88.781,88.846,88.911,86.965,86.835,86.706,89.559,89.559,89.494,87.224,87.224,87.224,90.143,90.143,89.948,90.143,90.143,90.013,91.44,91.505,91.505,89.754,89.948,89.948,88.781,91.44,88.781,89.105,89.105,89.105,87.956,87.678,90.661,90.856,90.726,86.511,86.511,86.511,87.678,87.678,89.429,89.494,89.429,87.224,87.03,87.03,89.883,89.883,89.689,89.17,89.3,90.726,90.013,90.013,90.208,90.078,89.105,89.105,88.975,89.364,89.364,89.429,90.597,90.467,90.532,89.559,88.911
RMNH.INS.1271307_Cs_annulata - COX1 gene,86.965,87.16,87.03,85.668,85.473,85.473,87.743,87.808,87.678,,99.87,99.805,85.473,85.473,85.473,88.067,87.873,87.678,88.262,88.197,88.262,86.511,86.511,86.511,88.716,88.716,88.716,86.511,86.9,87.16,86.511,87.03,86.965,88.781,88.651,88.716,87.224,87.419,87.419,86.641,88.651,86.641,87.549,87.549,87.549,96.029,99.87,88.197,88.457,88.521,85.214,85.214,85.214,99.87,99.87,88.911,88.975,89.04,88.262,88.067,88.067,87.743,87.743,87.613,87.808,88.132,88.457,87.16,87.16,86.965,87.354,86.77,86.77,86.77,86.835,86.835,86.965,86.187,86.641,86.511,86.511,89.3
