,RMNH.INS.1271298_An_messeae - ND4 gene,RMNH.INS.1271299_An_messeae - ND4 gene,RMNH.INS.1271300_An_messeae - ND4 gene,RMNH.INS.1271301_Cq_richiardii - ND4 gene,RMNH.INS.1271302_Cq_richiardii - ND4 gene,RMNH.INS.1271303_Cq_richiardii - ND4 gene,RMNH.INS.1271304_Ae_vexans - ND4 gene,RMNH.INS.1271305_Ae_vexans - ND4 gene,RMNH.INS.1271306_Ae_vexans - ND4 gene,RMNH.INS.1271307_Cs_annulata - ND4 gene,RMNH.INS.1271308_Cs_annulata - ND4 gene,RMNH.INS.1271309_Cs_annulata - ND4 gene,RMNH.INS.1271310_An_claviger - ND4 gene,RMNH.INS.1271311_An_claviger - ND4 gene,RMNH.INS.1271312_An_claviger - ND4 gene,RMNH.INS.1271313_Cx_modestus - ND4 gene,RMNH.INS.1271314_Cx_modestus - ND4 gene,RMNH.INS.1271315_Cx_modestus - ND4 gene,RMNH.INS.1271316_Cx_territans - ND4 gene,RMNH.INS.1271317_Cx_territans - ND4 gene,RMNH.INS.1271318_Cx_territans - ND4 gene,RMNH.INS.1271319_Ae_cinereus - ND4 gene,RMNH.INS.1271320_Ae_cinereus - ND4 gene,RMNH.INS.1271321_Ae_cinereus - ND4 gene,RMNH.INS.1271322_Cs_longiareolata - ND4 gene,RMNH.INS.1271323_Cs_longiareolata - ND4 gene,RMNH.INS.1271324_Cs_longiareolata - ND4 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND4 gene,RMNH.INS.1271331_Ae_rusticus - ND4 gene,RMNH.INS.1271332_Ae_rusticus - ND4 gene,RMNH.INS.1271333_Ae_rusticus - ND4 gene,RMNH.INS.1271334_Ae_communis - ND4 gene,RMNH.INS.1271335_Ae_communis - ND4 gene,RMNH.INS.1271336_Ae_communis - ND4 gene,RMNH.INS.1271337_Ae_punctor - ND4 gene,RMNH.INS.1271338_Ae_rusticus - ND4 gene,RMNH.INS.1271339_Ae_punctor - ND4 gene,RMNH.INS.1271340_Ae_geniculatus - ND4 gene,RMNH.INS.1271341_Ae_geniculatus - ND4 gene,RMNH.INS.1271342_Ae_geniculatus - ND4 gene,RMNH.INS.1271344_Cs_subochrea - ND4 gene,RMNH.INS.1271345_Cs_annulata - ND4 gene,RMNH.INS.1271346_Ae_caspius - ND4 gene,RMNH.INS.1271347_Ae_caspius - ND4 gene,RMNH.INS.1271348_Ae_caspius - ND4 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND4 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND4 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND4 gene,RMNH.INS.1271352_Cs_annulata - ND4 gene,RMNH.INS.1271354_Cs_annulata - ND4 gene,RMNH.INS.1271355_Cx_pipiens - ND4 gene,RMNH.INS.1271356_Cx_pipiens - ND4 gene,RMNH.INS.1271357_Cx_pipiens - ND4 gene,RMNH.INS.1271358_Cs_morsitans - ND4 gene,RMNH.INS.1271359_Cs_morsitans - ND4 gene,RMNH.INS.1271360_Cs_morsitans - ND4 gene,RMNH.INS.1271361_Ae_sticticus - ND4 gene,RMNH.INS.1271362_Ae_sticticus - ND4 gene,RMNH.INS.1271363_Ae_sticticus - ND4 gene,RMNH.INS.1271367_Ae_detritus - ND4 gene,RMNH.INS.1271368_Ae_detritus - ND4 gene,RMNH.INS.1271369_Ae_caspius - ND4 gene,RMNH.INS.1271370_Ae_flavescens - ND4 gene,RMNH.INS.1271371_Ae_flavescens - ND4 gene,RMNH.INS.1271372_Ae_flavescens - ND4 gene,RMNH.INS.1271375_Ae_leucomelas - ND4 gene,RMNH.INS.1271376_Ae_albopictus - ND4 gene,RMNH.INS.1271377_Ae_albopictus - ND4 gene,RMNH.INS.1271378_Ae_albopictus - ND4 gene,RMNH.INS.1271379_Ae_japonicus - ND4 gene,RMNH.INS.1271380_Ae_japonicus - ND4 gene,RMNH.INS.1271381_Ae_japonicus - ND4 gene,RMNH.INS.1271382_Ae_aegypti - ND4 gene,RMNH.INS.1271383_Ae_aegypti - ND4 gene,RMNH.INS.1271384_Ae_aegypti - ND4 gene,RMNH.INS.1271386_Ae_cinereus - ND4 gene,RMNH.INS.1271389_Cs_ochroptera - ND4 gene
RMNH.INS.1271298_An_messeae - ND4 gene,,99.702,99.329,80.462,80.611,80.611,82.55,82.55,82.476,83.594,83.594,83.743,89.262,89.336,89.262,82.103,82.849,82.923,81.879,81.73,81.805,82.828,82.751,82.828,82.401,82.401,82.401,83.147,82.923,82.998,83.221,82.774,82.774,82.998,83.072,82.998,82.177,82.476,82.401,82.103,83.072,82.103,82.103,82.177,82.103,83.449,83.594,84.191,84.116,84.116,87.099,87.099,87.099,83.669,83.594,83.594,83.594,83.594,82.294,82.371,82.294,83.147,83.147,83.147,83.594,83.296,84.116,82.774,82.774,82.55,83.221,83.217,83.061,83.217,82.55,82.55,82.476,83.893,83.967,83.893,82.828,83.526
RMNH.INS.1271299_An_messeae - ND4 gene,99.702,,99.329,80.537,80.686,80.686,82.55,82.55,82.476,83.669,83.669,83.818,89.262,89.336,89.262,82.177,82.774,82.849,81.879,81.73,81.805,82.984,82.906,82.984,82.476,82.476,82.476,83.147,82.923,82.998,83.221,82.774,82.774,82.998,83.072,82.998,82.177,82.476,82.401,81.954,83.072,81.954,82.103,82.177,82.103,83.526,83.669,84.191,84.116,84.116,86.95,86.95,86.95,83.743,83.669,83.669,83.669,83.669,82.371,82.448,82.371,83.147,83.147,83.147,83.594,83.296,84.116,82.774,82.774,82.55,83.072,83.139,82.984,83.139,82.55,82.55,82.476,83.893,83.818,83.893,82.984,83.526
RMNH.INS.1271300_An_messeae - ND4 gene,99.329,99.329,,80.462,80.611,80.611,82.55,82.55,82.476,83.669,83.669,83.818,89.411,89.485,89.411,81.954,82.849,82.923,81.879,81.73,81.805,82.906,82.828,82.906,82.401,82.401,82.401,83.221,82.998,83.072,83.296,82.849,82.849,82.998,83.072,82.998,82.103,82.401,82.327,81.805,83.072,81.805,82.252,82.327,82.252,83.526,83.669,84.116,84.042,84.042,86.875,86.875,86.875,83.743,83.669,83.445,83.445,83.445,82.371,82.448,82.371,83.072,83.072,83.072,83.445,83.296,84.042,82.625,82.625,82.55,83.147,82.906,82.751,82.906,82.401,82.401,82.327,83.743,83.893,83.893,82.906,83.603
RMNH.INS.1271301_Cq_richiardii - ND4 gene,80.462,80.537,80.462,,99.851,99.851,84.821,84.821,84.821,84.97,85.045,84.821,81.432,81.506,81.357,82.44,83.036,83.185,83.408,83.185,83.185,84.884,84.806,84.884,83.854,83.854,83.854,85.565,85.491,85.342,85.64,85.268,85.342,85.491,85.565,85.491,83.78,83.78,83.705,83.705,85.491,83.705,83.929,83.854,83.929,84.178,85.045,85.268,85.342,85.268,81.581,81.581,81.581,85.119,85.045,83.854,83.854,83.854,83.794,83.871,83.794,84.747,84.747,84.747,85.64,85.342,85.342,85.119,85.119,84.896,84.821,84.651,84.651,84.651,83.482,83.482,83.705,84.226,83.705,84.301,84.961,85.714
RMNH.INS.1271302_Cq_richiardii - ND4 gene,80.611,80.686,80.611,99.851,,100,84.97,84.97,84.97,85.045,85.119,84.896,81.506,81.581,81.432,82.589,83.11,83.259,83.557,83.333,83.333,84.961,84.884,84.961,83.854,83.854,83.854,85.64,85.565,85.417,85.714,85.342,85.417,85.565,85.64,85.565,83.854,83.854,83.78,83.78,85.565,83.78,84.077,84.003,84.077,84.255,85.119,85.342,85.417,85.342,81.581,81.581,81.581,85.193,85.119,83.854,83.854,83.854,83.948,84.025,83.948,84.821,84.821,84.821,85.789,85.491,85.417,85.193,85.193,84.97,84.896,84.806,84.806,84.806,83.557,83.557,83.78,84.375,83.854,84.449,85.039,85.791
RMNH.INS.1271303_Cq_richiardii - ND4 gene,80.611,80.686,80.611,99.851,100,,84.97,84.97,84.97,85.045,85.119,84.896,81.506,81.581,81.432,82.589,83.11,83.259,83.557,83.333,83.333,84.961,84.884,84.961,83.854,83.854,83.854,85.64,85.565,85.417,85.714,85.342,85.417,85.565,85.64,85.565,83.854,83.854,83.78,83.78,85.565,83.78,84.077,84.003,84.077,84.255,85.119,85.342,85.417,85.342,81.581,81.581,81.581,85.193,85.119,83.854,83.854,83.854,83.948,84.025,83.948,84.821,84.821,84.821,85.789,85.491,85.417,85.193,85.193,84.97,84.896,84.806,84.806,84.806,83.557,83.557,83.78,84.375,83.854,84.449,85.039,85.791
RMNH.INS.1271304_Ae_vexans - ND4 gene,82.55,82.55,82.55,84.821,84.97,84.97,,99.851,99.851,89.732,89.732,89.583,83.52,83.52,83.52,86.607,87.277,87.351,87.574,87.5,87.5,91.395,91.318,91.395,86.979,86.979,86.979,92.932,92.857,92.708,93.006,92.56,92.634,92.708,92.783,92.783,92.188,92.411,92.336,91.22,92.783,91.22,91.369,91.443,91.369,89.171,89.732,93.973,93.899,94.048,82.923,82.923,82.923,89.807,89.732,88.765,88.765,88.765,88.172,88.249,88.172,92.113,92.113,92.113,91.89,91.592,93.899,92.485,92.485,92.262,91.815,90.775,90.543,90.775,89.807,89.807,89.583,91.815,91.592,91.89,91.318,89.785
RMNH.INS.1271305_Ae_vexans - ND4 gene,82.55,82.55,82.55,84.821,84.97,84.97,99.851,,99.702,89.732,89.732,89.583,83.52,83.52,83.52,86.607,87.277,87.351,87.574,87.5,87.5,91.395,91.318,91.395,86.979,86.979,86.979,92.932,92.857,92.708,93.006,92.56,92.634,92.708,92.783,92.783,92.039,92.262,92.188,91.22,92.783,91.22,91.22,91.295,91.22,89.171,89.732,93.973,93.75,94.048,82.923,82.923,82.923,89.807,89.732,88.616,88.616,88.616,88.018,88.095,88.018,92.039,92.039,92.039,91.741,91.443,93.75,92.336,92.336,92.113,91.815,90.62,90.388,90.62,89.807,89.807,89.583,91.741,91.518,91.815,91.318,89.785
RMNH.INS.1271306_Ae_vexans - ND4 gene,82.476,82.476,82.476,84.821,84.97,84.97,99.851,99.702,,89.658,89.658,89.509,83.445,83.445,83.445,86.533,87.202,87.277,87.574,87.5,87.5,91.318,91.24,91.318,86.905,86.905,86.905,92.932,92.857,92.708,93.006,92.56,92.634,92.634,92.708,92.708,92.113,92.336,92.262,91.146,92.708,91.146,91.22,91.295,91.22,89.017,89.658,93.973,93.899,94.048,82.849,82.849,82.849,89.732,89.658,88.765,88.765,88.765,88.172,88.249,88.172,91.964,91.964,91.964,91.815,91.518,93.899,92.485,92.485,92.262,91.815,90.775,90.543,90.775,89.807,89.807,89.583,91.741,91.518,91.815,91.24,89.785
RMNH.INS.1271307_Cs_annulata - ND4 gene,83.594,83.669,83.669,84.97,85.045,85.045,89.732,89.732,89.658,,99.777,99.479,83.967,84.042,84.042,87.946,88.616,88.839,87.128,87.054,87.054,89.302,89.225,89.302,89.658,89.658,89.658,90.402,90.179,90.179,90.476,90.03,90.179,90.625,90.699,90.625,89.658,89.881,89.807,89.137,90.699,89.137,89.063,89.137,89.063,95.545,99.777,91.146,91.146,91.146,84.564,84.564,84.564,99.851,99.777,88.69,88.69,88.69,88.786,88.786,88.786,89.286,89.286,89.286,90.699,90.104,91.146,90.253,90.253,90.179,89.137,88.915,88.605,88.915,88.542,88.542,88.467,89.286,89.509,89.509,89.302,89.708
