,RMNH.INS.1271298_An_messeae - ND6 gene,RMNH.INS.1271299_An_messeae - ND6 gene,RMNH.INS.1271300_An_messeae - ND6 gene,RMNH.INS.1271301_Cq_richiardii - ND6 gene,RMNH.INS.1271302_Cq_richiardii - ND6 gene,RMNH.INS.1271303_Cq_richiardii - ND6 gene,RMNH.INS.1271304_Ae_vexans - ND6 gene,RMNH.INS.1271305_Ae_vexans - ND6 gene,RMNH.INS.1271306_Ae_vexans - ND6 gene,RMNH.INS.1271307_Cs_annulata - ND6 gene,RMNH.INS.1271308_Cs_annulata - ND6 gene,RMNH.INS.1271309_Cs_annulata - ND6 gene,RMNH.INS.1271310_An_claviger - ND6 gene,RMNH.INS.1271311_An_claviger - ND6 gene,RMNH.INS.1271312_An_claviger - ND6 gene,RMNH.INS.1271313_Cx_modestus - ND6 gene,RMNH.INS.1271314_Cx_modestus - ND6 gene,RMNH.INS.1271315_Cx_modestus - ND6 gene,RMNH.INS.1271316_Cx_territans - ND6 gene,RMNH.INS.1271317_Cx_territans - ND6 gene,RMNH.INS.1271318_Cx_territans - ND6 gene,RMNH.INS.1271319_Ae_cinereus - ND6 gene,RMNH.INS.1271320_Ae_cinereus - ND6 gene,RMNH.INS.1271321_Ae_cinereus - ND6 gene,RMNH.INS.1271322_Cs_longiareolata - ND6 gene,RMNH.INS.1271323_Cs_longiareolata - ND6 gene,RMNH.INS.1271324_Cs_longiareolata - ND6 gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND6 gene,RMNH.INS.1271331_Ae_rusticus - ND6 gene,RMNH.INS.1271332_Ae_rusticus - ND6 gene,RMNH.INS.1271333_Ae_rusticus - ND6 gene,RMNH.INS.1271334_Ae_communis - ND6 gene,RMNH.INS.1271335_Ae_communis - ND6 gene,RMNH.INS.1271336_Ae_communis - ND6 gene,RMNH.INS.1271337_Ae_punctor - ND6 gene,RMNH.INS.1271338_Ae_rusticus - ND6 gene,RMNH.INS.1271339_Ae_punctor - ND6 gene,RMNH.INS.1271340_Ae_geniculatus - ND6 gene,RMNH.INS.1271341_Ae_geniculatus - ND6 gene,RMNH.INS.1271342_Ae_geniculatus - ND6 gene,RMNH.INS.1271344_Cs_subochrea - ND6 gene,RMNH.INS.1271345_Cs_annulata - ND6 gene,RMNH.INS.1271346_Ae_caspius - ND6 gene,RMNH.INS.1271347_Ae_caspius - ND6 gene,RMNH.INS.1271348_Ae_caspius - ND6 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND6 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND6 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND6 gene,RMNH.INS.1271352_Cs_annulata - ND6 gene,RMNH.INS.1271354_Cs_annulata - ND6 gene,RMNH.INS.1271355_Cx_pipiens - ND6 gene,RMNH.INS.1271356_Cx_pipiens - ND6 gene,RMNH.INS.1271357_Cx_pipiens - ND6 gene,RMNH.INS.1271358_Cs_morsitans - ND6 gene,RMNH.INS.1271359_Cs_morsitans - ND6 gene,RMNH.INS.1271360_Cs_morsitans - ND6 gene,RMNH.INS.1271361_Ae_sticticus - ND6 gene,RMNH.INS.1271362_Ae_sticticus - ND6 gene,RMNH.INS.1271363_Ae_sticticus - ND6 gene,RMNH.INS.1271367_Ae_detritus - ND6 gene,RMNH.INS.1271368_Ae_detritus - ND6 gene,RMNH.INS.1271369_Ae_caspius - ND6 gene,RMNH.INS.1271370_Ae_flavescens - ND6 gene,RMNH.INS.1271371_Ae_flavescens - ND6 gene,RMNH.INS.1271372_Ae_flavescens - ND6 gene,RMNH.INS.1271375_Ae_leucomelas - ND6 gene,RMNH.INS.1271376_Ae_albopictus - ND6 gene,RMNH.INS.1271377_Ae_albopictus - ND6 gene,RMNH.INS.1271378_Ae_albopictus - ND6 gene,RMNH.INS.1271379_Ae_japonicus - ND6 gene,RMNH.INS.1271380_Ae_japonicus - ND6 gene,RMNH.INS.1271381_Ae_japonicus - ND6 gene,RMNH.INS.1271382_Ae_aegypti - ND6 gene,RMNH.INS.1271383_Ae_aegypti - ND6 gene,RMNH.INS.1271384_Ae_aegypti - ND6 gene,RMNH.INS.1271386_Ae_cinereus - ND6 gene,RMNH.INS.1271389_Cs_ochroptera - ND6 gene
RMNH.INS.1271298_An_messeae - ND6 gene,,99.619,99.81,72.745,72.941,73.137,79.769,79.769,79.769,78.682,78.682,78.295,86.476,86.286,86.476,79.651,79.457,78.682,78.488,78.488,78.488,77.524,77.333,77.333,79.191,79.191,79.191,77.264,77.264,77.842,77.071,77.071,76.879,79.576,79.576,79.576,76.493,76.301,76.301,76.301,79.576,76.493,78.035,78.035,78.035,77.264,78.682,79.191,79.383,79.191,84.571,84.571,84.571,78.682,78.682,79.457,79.457,79.457,76.19,76,76.19,77.905,77.905,78.613,76.493,76.493,79.191,78.42,78.42,78.227,76.879,77.096,77.301,77.096,77.264,77.264,77.264,76.686,76.108,76.879,77.333,78.035
RMNH.INS.1271299_An_messeae - ND6 gene,99.619,,99.429,72.745,72.941,73.137,79.769,79.769,79.769,78.682,78.682,78.295,86.476,86.286,86.476,79.457,79.264,78.488,78.488,78.488,78.488,77.524,77.333,77.333,79.191,79.191,79.191,77.264,77.264,77.842,77.071,77.071,76.879,79.576,79.576,79.576,76.493,76.301,76.301,76.301,79.576,76.493,78.035,78.035,78.035,77.264,78.682,79.191,79.383,79.191,84.571,84.571,84.571,78.682,78.682,79.264,79.264,79.264,76.19,76,76.19,77.905,77.905,78.613,76.493,76.493,79.191,78.42,78.42,78.227,76.493,77.096,77.301,77.096,77.264,77.264,77.264,76.686,76.108,76.879,77.333,78.035
RMNH.INS.1271300_An_messeae - ND6 gene,99.81,99.429,,72.549,72.745,72.941,79.576,79.576,79.576,78.488,78.488,78.101,86.286,86.095,86.286,79.457,79.264,78.488,78.295,78.295,78.295,77.333,77.143,77.143,78.998,78.998,78.998,77.071,77.071,77.649,76.879,76.879,76.686,79.383,79.383,79.383,76.301,76.108,76.108,76.108,79.383,76.301,77.842,77.842,77.842,77.071,78.488,78.998,79.191,78.998,84.381,84.381,84.381,78.488,78.488,79.264,79.264,79.264,76,75.81,76,77.714,77.714,78.42,76.301,76.301,78.998,78.227,78.227,78.035,76.686,76.892,77.096,76.892,77.264,77.264,77.264,76.493,75.915,76.686,77.143,77.842
RMNH.INS.1271301_Cq_richiardii - ND6 gene,72.745,72.745,72.549,,99.804,99.608,75.49,75.49,75.294,78.431,78.431,78.039,74.118,73.922,74.118,73.725,72.941,72.549,76.078,76.078,76.078,73.333,73.137,73.137,75.686,75.686,75.686,75.098,75.294,75.098,75.098,74.902,74.706,75.882,75.882,75.882,73.922,73.725,73.725,72.941,75.882,72.745,75.49,75.49,75.49,78.627,78.431,74.902,74.706,74.902,75.686,75.686,75.686,78.431,78.431,75.882,75.882,75.882,77.843,77.647,77.843,74.118,74.118,73.922,74.118,74.118,74.706,74.706,74.706,74.706,75.294,77.301,77.301,77.301,73.725,73.725,73.725,75.294,74.706,75.49,73.137,77.843
RMNH.INS.1271302_Cq_richiardii - ND6 gene,72.941,72.941,72.745,99.804,,99.804,75.686,75.686,75.49,78.627,78.627,78.235,74.314,74.118,74.314,73.922,73.137,72.745,76.275,76.275,76.275,73.529,73.333,73.333,75.882,75.882,75.882,75.294,75.49,75.294,75.294,75.098,74.902,76.078,76.078,76.078,74.118,73.922,73.922,73.137,76.078,72.941,75.686,75.686,75.686,78.824,78.627,75.098,74.902,75.098,75.882,75.882,75.882,78.627,78.627,76.078,76.078,76.078,78.039,77.843,78.039,74.314,74.314,74.118,74.314,74.314,74.902,74.902,74.902,74.902,75.49,77.505,77.505,77.505,73.922,73.922,73.922,75.49,74.902,75.686,73.333,78.039
RMNH.INS.1271303_Cq_richiardii - ND6 gene,73.137,73.137,72.941,99.608,99.804,,75.882,75.882,75.686,78.824,78.824,78.431,74.314,74.118,74.314,74.118,73.333,72.941,76.078,76.078,76.078,73.725,73.529,73.529,75.882,75.882,75.882,75.49,75.686,75.49,75.49,75.294,75.098,76.078,76.078,76.078,74.314,74.118,74.118,73.333,76.078,73.137,75.686,75.686,75.686,78.824,78.824,75.294,75.098,75.294,75.882,75.882,75.882,78.824,78.824,76.275,76.275,76.275,78.235,78.039,78.235,74.51,74.51,74.314,74.51,74.51,75.098,75.098,75.098,75.098,75.686,77.71,77.71,77.71,74.118,74.118,74.118,75.294,74.706,75.49,73.529,78.235
RMNH.INS.1271304_Ae_vexans - ND6 gene,79.769,79.769,79.576,75.49,75.686,75.882,,100,99.807,83.527,83.527,83.14,78.805,78.42,78.613,81.395,81.395,80.814,81.977,81.977,81.977,89.403,89.21,89.21,81.888,81.888,81.888,88.825,89.21,89.017,89.017,88.247,88.247,92.1,91.908,92.1,87.861,87.669,87.669,85.549,92.1,85.549,88.439,88.439,88.439,82.852,83.527,92.1,92.1,92.1,81.118,81.118,81.118,83.527,83.527,83.915,83.915,83.915,84.586,84.586,84.586,86.32,86.32,86.513,88.825,88.825,91.908,89.21,89.21,89.017,89.21,84.663,84.663,84.663,86.32,86.32,86.32,86.705,85.934,86.705,89.21,85.356
RMNH.INS.1271305_Ae_vexans - ND6 gene,79.769,79.769,79.576,75.49,75.686,75.882,100,,99.807,83.527,83.527,83.14,78.805,78.42,78.613,81.395,81.395,80.814,81.977,81.977,81.977,89.403,89.21,89.21,81.888,81.888,81.888,88.825,89.21,89.017,89.017,88.247,88.247,92.1,91.908,92.1,87.861,87.669,87.669,85.549,92.1,85.549,88.439,88.439,88.439,82.852,83.527,92.1,92.1,92.1,81.118,81.118,81.118,83.527,83.527,83.915,83.915,83.915,84.586,84.586,84.586,86.32,86.32,86.513,88.825,88.825,91.908,89.21,89.21,89.017,89.21,84.663,84.663,84.663,86.32,86.32,86.32,86.705,85.934,86.705,89.21,85.356
RMNH.INS.1271306_Ae_vexans - ND6 gene,79.769,79.769,79.576,75.294,75.49,75.686,99.807,99.807,,83.721,83.721,83.333,78.805,78.42,78.613,81.589,81.589,81.008,82.171,82.171,82.171,89.595,89.403,89.403,82.081,82.081,82.081,88.632,89.017,88.825,88.825,88.054,88.054,91.908,91.715,91.908,87.669,87.476,87.476,85.356,91.908,85.356,88.632,88.632,88.632,83.044,83.721,91.908,91.908,91.908,81.118,81.118,81.118,83.721,83.721,84.109,84.109,84.109,84.393,84.393,84.393,86.513,86.513,86.705,89.017,89.017,91.715,89.017,89.017,88.825,89.017,84.663,84.663,84.663,86.513,86.513,86.513,86.513,85.742,86.513,89.403,85.549
RMNH.INS.1271307_Cs_annulata - ND6 gene,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,,100,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,80.814,80.62,80.62,79.845,84.302,79.845,82.946,82.946,82.946,94.767,100,82.946,83.14,82.946,81.202,81.202,81.202,100,100,86.24,86.24,86.24,86.628,86.434,86.628,81.202,81.202,81.202,83.333,82.946,82.946,83.915,83.915,83.721,82.364,82.004,81.8,82.004,82.364,82.364,82.364,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271308_Cs_annulata - ND6 gene,78.682,78.682,78.488,78.431,78.627,78.824,83.527,83.527,83.721,100,,99.225,78.682,78.488,78.682,84.884,84.496,84.109,85.659,85.659,85.659,82.946,82.752,82.752,84.496,84.496,84.496,83.527,83.333,82.946,83.333,82.558,82.171,84.302,84.302,84.302,80.814,80.62,80.62,79.845,84.302,79.845,82.946,82.946,82.946,94.767,100,82.946,83.14,82.946,81.202,81.202,81.202,100,100,86.24,86.24,86.24,86.628,86.434,86.628,81.202,81.202,81.202,83.333,82.946,82.946,83.915,83.915,83.721,82.364,82.004,81.8,82.004,82.364,82.364,82.364,81.395,81.008,81.977,82.752,87.597
RMNH.INS.1271309_Cs_annulata - ND6 gene,78.295,78.295,78.101,78.039,78.235,78.431,83.14,83.14,83.333,99.225,99.225,,78.295,78.101,78.295,84.302,83.915,83.527,84.884,84.884,84.884,82.171,81.977,81.977,83.721,83.721,83.721,82.752,82.558,82.171,82.558,81.783,81.395,83.915,83.915,83.915,80.426,80.233,80.233,79.457,83.915,79.457,82.558,82.558,82.558,93.992,99.225,82.558,82.752,82.558,80.426,80.426,80.426,99.225,99.225,86.047,86.047,86.047,85.853,85.659,85.853,80.814,80.814,80.814,82.558,82.171,82.558,83.333,83.333,83.14,81.977,81.186,80.982,81.186,81.589,81.589,81.589,81.008,80.62,81.202,81.977,86.822
RMNH.INS.1271310_An_claviger - ND6 gene,86.476,86.476,86.286,74.118,74.314,74.314,78.805,78.805,78.805,78.682,78.682,78.295,,99.619,99.81,79.264,79.651,78.876,80.814,80.814,80.814,78.286,78.095,78.095,79.961,79.961,79.961,78.035,77.842,78.805,77.842,77.457,77.842,80.154,80.154,80.154,76.686,76.493,76.493,76.301,80.154,76.493,78.227,78.227,78.227,77.264,78.682,79.191,78.998,79.191,85.524,85.524,85.524,78.682,78.682,81.008,81.008,81.008,78.476,78.476,78.476,77.714,77.714,78.42,75.915,76.108,79.191,78.035,78.035,77.842,78.805,79.55,79.755,79.55,76.879,76.879,76.879,78.227,77.842,78.227,78.095,79.769
RMNH.INS.1271311_An_claviger - ND6 gene,86.286,86.286,86.095,73.922,74.118,74.118,78.42,78.42,78.42,78.488,78.488,78.101,99.619,,99.81,79.07,79.457,78.682,80.62,80.62,80.62,77.905,77.714,77.714,79.769,79.769,79.769,77.649,77.457,78.42,77.457,77.071,77.457,79.961,79.961,79.961,76.493,76.301,76.301,75.915,79.961,76.108,78.035,78.035,78.035,77.071,78.488,78.805,78.613,78.805,85.143,85.143,85.143,78.488,78.488,80.814,80.814,80.814,78.286,78.286,78.286,77.333,77.333,78.035,75.723,75.915,78.805,77.649,77.649,77.457,78.42,79.346,79.55,79.346,76.493,76.493,76.493,78.035,77.649,78.035,77.714,79.383
RMNH.INS.1271312_An_claviger - ND6 gene,86.476,86.476,86.286,74.118,74.314,74.314,78.613,78.613,78.613,78.682,78.682,78.295,99.81,99.81,,79.264,79.651,78.876,80.814,80.814,80.814,78.095,77.905,77.905,79.961,79.961,79.961,77.842,77.649,78.613,77.649,77.264,77.649,80.154,80.154,80.154,76.686,76.493,76.493,76.108,80.154,76.301,78.227,78.227,78.227,77.264,78.682,78.998,78.805,78.998,85.333,85.333,85.333,78.682,78.682,81.008,81.008,81.008,78.476,78.476,78.476,77.524,77.524,78.227,75.915,76.108,78.998,77.842,77.842,77.649,78.613,79.55,79.755,79.55,76.686,76.686,76.686,78.227,77.842,78.227,77.905,79.576
RMNH.INS.1271313_Cx_modestus - ND6 gene,79.651,79.457,79.457,73.725,73.922,74.118,81.395,81.395,81.589,84.884,84.884,84.302,79.264,79.07,79.264,,97.868,97.674,87.209,87.209,87.209,83.915,83.721,83.721,82.752,82.752,82.752,80.62,80.814,80.426,80.62,80.039,79.845,82.752,82.946,82.752,78.876,78.682,78.682,77.519,82.752,77.713,80.814,80.814,80.814,82.946,84.884,80.62,80.814,80.62,79.651,79.651,79.651,84.884,84.884,91.085,91.085,91.085,82.558,82.364,82.558,80.814,80.814,80.814,81.395,81.202,80.62,81.202,81.202,81.008,79.845,80.368,80.368,80.368,81.008,81.008,81.008,79.264,79.07,79.845,83.721,83.721
RMNH.INS.1271314_Cx_modestus - ND6 gene,79.457,79.264,79.264,72.941,73.137,73.333,81.395,81.395,81.589,84.496,84.496,83.915,79.651,79.457,79.651,97.868,,99.031,87.597,87.597,87.597,83.14,82.946,82.946,82.558,82.558,82.558,80.233,80.426,80.039,80.233,79.651,79.457,82.558,82.752,82.558,79.264,79.07,79.07,77.326,82.558,77.519,80.814,80.814,80.814,82.558,84.496,80.62,80.814,80.62,80.039,80.039,80.039,84.496,84.496,90.891,90.891,90.891,81.783,81.977,81.783,81.008,81.008,81.008,81.395,81.202,80.62,81.202,81.202,81.008,79.651,80.368,80.368,80.368,80.62,80.62,80.62,79.07,78.876,79.264,82.946,82.946
RMNH.INS.1271315_Cx_modestus - ND6 gene,78.682,78.488,78.488,72.549,72.745,72.941,80.814,80.814,81.008,84.109,84.109,83.527,78.876,78.682,78.876,97.674,99.031,,87.016,87.016,87.016,82.946,82.752,82.752,82.171,82.171,82.171,79.651,79.845,79.457,79.651,79.07,78.876,81.977,82.171,81.977,78.682,78.488,78.488,76.744,81.977,76.938,80.233,80.233,80.233,82.171,84.109,80.039,80.233,80.039,79.651,79.651,79.651,84.109,84.109,90.31,90.31,90.31,81.395,81.589,81.395,80.233,80.233,80.233,80.814,80.62,80.039,80.62,80.62,80.426,79.07,79.55,79.55,79.55,80.426,80.426,80.426,78.488,78.295,78.682,82.752,82.558
RMNH.INS.1271316_Cx_territans - ND6 gene,78.488,78.488,78.295,76.078,76.275,76.078,81.977,81.977,82.171,85.659,85.659,84.884,80.814,80.62,80.814,87.209,87.597,87.016,,100,100,82.364,82.171,82.171,82.752,82.752,82.752,83.915,83.915,83.721,83.915,83.14,83.14,82.946,82.946,82.946,80.426,80.233,80.233,78.488,82.946,78.682,82.364,82.364,82.364,84.69,85.659,82.946,83.14,82.946,82.171,82.171,82.171,85.659,85.659,89.147,89.147,89.147,84.109,84.302,84.109,82.752,82.752,82.752,82.946,83.14,82.946,83.14,83.14,82.946,82.364,81.391,81.391,81.391,82.171,82.171,82.171,82.171,82.171,82.364,82.171,85.271
