,RMNH.INS.1271298_An_messeae - COX3 gene,RMNH.INS.1271299_An_messeae - COX3 gene,RMNH.INS.1271300_An_messeae - COX3 gene,RMNH.INS.1271301_Cq_richiardii - COX3 gene,RMNH.INS.1271302_Cq_richiardii - COX3 gene,RMNH.INS.1271303_Cq_richiardii - COX3 gene,RMNH.INS.1271304_Ae_vexans - COX3 gene,RMNH.INS.1271305_Ae_vexans - COX3 gene,RMNH.INS.1271306_Ae_vexans - COX3 gene,RMNH.INS.1271307_Cs_annulata - COX3 gene,RMNH.INS.1271308_Cs_annulata - COX3 gene,RMNH.INS.1271309_Cs_annulata - COX3 gene,RMNH.INS.1271310_An_claviger - COX3 gene,RMNH.INS.1271311_An_claviger - COX3 gene,RMNH.INS.1271312_An_claviger - COX3 gene,RMNH.INS.1271313_Cx_modestus - COX3 gene,RMNH.INS.1271314_Cx_modestus - COX3 gene,RMNH.INS.1271315_Cx_modestus - COX3 gene,RMNH.INS.1271316_Cx_territans - COX3 gene,RMNH.INS.1271317_Cx_territans - COX3 gene,RMNH.INS.1271318_Cx_territans - COX3 gene,RMNH.INS.1271319_Ae_cinereus - COX3 gene,RMNH.INS.1271320_Ae_cinereus - COX3 gene,RMNH.INS.1271321_Ae_cinereus - COX3 gene,RMNH.INS.1271322_Cs_longiareolata - COX3 gene,RMNH.INS.1271323_Cs_longiareolata - COX3 gene,RMNH.INS.1271324_Cs_longiareolata - COX3 gene,RMNH.INS.1271325_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271326_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271327_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271328_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271329_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271330_Ae_annulipes_cantans - COX3 gene,RMNH.INS.1271331_Ae_rusticus - COX3 gene,RMNH.INS.1271332_Ae_rusticus - COX3 gene,RMNH.INS.1271333_Ae_rusticus - COX3 gene,RMNH.INS.1271334_Ae_communis - COX3 gene,RMNH.INS.1271335_Ae_communis - COX3 gene,RMNH.INS.1271336_Ae_communis - COX3 gene,RMNH.INS.1271337_Ae_punctor - COX3 gene,RMNH.INS.1271338_Ae_rusticus - COX3 gene,RMNH.INS.1271339_Ae_punctor - COX3 gene,RMNH.INS.1271340_Ae_geniculatus - COX3 gene,RMNH.INS.1271341_Ae_geniculatus - COX3 gene,RMNH.INS.1271342_Ae_geniculatus - COX3 gene,RMNH.INS.1271344_Cs_subochrea - COX3 gene,RMNH.INS.1271345_Cs_annulata - COX3 gene,RMNH.INS.1271346_Ae_caspius - COX3 gene,RMNH.INS.1271347_Ae_caspius - COX3 gene,RMNH.INS.1271348_Ae_caspius - COX3 gene,RMNH.INS.1271349_An_plumbeus_partial_genome - COX3 gene,RMNH.INS.1271350_An_plumbeus_partial_genome - COX3 gene,RMNH.INS.1271351_An_plumbeus_partial_genome - COX3 gene,RMNH.INS.1271352_Cs_annulata - COX3 gene,RMNH.INS.1271354_Cs_annulata - COX3 gene,RMNH.INS.1271355_Cx_pipiens - COX3 gene,RMNH.INS.1271356_Cx_pipiens - COX3 gene,RMNH.INS.1271357_Cx_pipiens - COX3 gene,RMNH.INS.1271358_Cs_morsitans - COX3 gene,RMNH.INS.1271359_Cs_morsitans - COX3 gene,RMNH.INS.1271360_Cs_morsitans - COX3 gene,RMNH.INS.1271361_Ae_sticticus - COX3 gene,RMNH.INS.1271362_Ae_sticticus - COX3 gene,RMNH.INS.1271363_Ae_sticticus - COX3 gene,RMNH.INS.1271367_Ae_detritus - COX3 gene,RMNH.INS.1271368_Ae_detritus - COX3 gene,RMNH.INS.1271369_Ae_caspius - COX3 gene,RMNH.INS.1271370_Ae_flavescens - COX3 gene,RMNH.INS.1271371_Ae_flavescens - COX3 gene,RMNH.INS.1271372_Ae_flavescens - COX3 gene,RMNH.INS.1271375_Ae_leucomelas - COX3 gene,RMNH.INS.1271376_Ae_albopictus - COX3 gene,RMNH.INS.1271377_Ae_albopictus - COX3 gene,RMNH.INS.1271378_Ae_albopictus - COX3 gene,RMNH.INS.1271379_Ae_japonicus - COX3 gene,RMNH.INS.1271380_Ae_japonicus - COX3 gene,RMNH.INS.1271381_Ae_japonicus - COX3 gene,RMNH.INS.1271382_Ae_aegypti - COX3 gene,RMNH.INS.1271383_Ae_aegypti - COX3 gene,RMNH.INS.1271384_Ae_aegypti - COX3 gene,RMNH.INS.1271386_Ae_cinereus - COX3 gene,RMNH.INS.1271389_Cs_ochroptera - COX3 gene
RMNH.INS.1271298_An_messeae - COX3 gene,,99.623,99.245,81.887,81.635,81.887,83.396,83.396,83.396,85.283,85.157,85.283,89.686,89.686,89.811,83.522,83.774,83.899,86.038,86.038,86.038,83.145,83.145,83.27,84.403,84.403,84.403,84.654,84.78,84.528,84.78,84.528,84.277,84.906,84.906,84.906,83.774,83.899,83.899,83.27,84.906,83.27,83.899,83.899,83.899,85.157,85.157,83.899,84.151,83.899,88.05,88.05,88.05,85.157,85.157,85.157,85.031,84.906,84.025,84.025,84.025,84.151,84.151,84.025,84.403,83.774,84.151,84.528,84.528,84.654,84.78,82.642,82.642,82.642,82.893,82.893,82.893,82.013,81.635,82.013,83.522,84.403
RMNH.INS.1271299_An_messeae - COX3 gene,99.623,,99.371,82.013,81.761,82.013,83.396,83.396,83.396,85.535,85.409,85.535,89.937,89.937,90.063,83.774,84.025,84.151,86.038,86.038,86.038,83.27,83.27,83.396,84.528,84.528,84.528,84.78,84.906,84.654,84.654,84.654,84.403,85.031,85.031,85.031,83.899,84.025,84.025,83.145,85.031,83.145,83.774,83.774,83.774,85.409,85.409,84.025,84.277,84.025,88.302,88.302,88.302,85.409,85.409,85.409,85.283,85.157,84.277,84.277,84.277,84.277,84.277,84.151,84.528,83.899,84.277,84.654,84.654,84.78,84.906,82.767,82.767,82.767,82.767,82.767,82.767,82.138,81.761,82.138,83.648,84.654
RMNH.INS.1271300_An_messeae - COX3 gene,99.245,99.371,,81.887,81.635,81.887,83.396,83.396,83.396,85.535,85.409,85.535,89.811,89.811,89.937,84.151,84.151,84.277,86.164,86.164,86.164,83.522,83.522,83.648,84.654,84.654,84.654,85.031,85.157,84.654,84.906,84.654,84.906,85.031,85.031,85.031,83.899,83.774,83.774,83.396,85.031,83.396,83.774,83.774,83.774,85.283,85.409,84.277,84.528,84.277,88.302,88.302,88.302,85.409,85.409,85.283,85.157,85.283,84.403,84.403,84.403,84.277,84.277,84.151,84.654,84.025,84.528,84.654,84.654,84.78,84.78,82.642,82.642,82.642,83.019,83.019,83.019,82.138,82.013,82.138,83.648,85.031
RMNH.INS.1271301_Cq_richiardii - COX3 gene,81.887,82.013,81.887,,99.747,99.747,86.692,86.439,86.439,86.058,85.932,86.058,82.767,82.767,82.642,85.551,85.171,85.551,83.396,83.396,83.396,85.805,85.551,85.425,86.819,86.819,86.819,87.072,86.692,86.819,86.946,86.946,86.946,86.038,85.912,85.912,85.932,85.678,85.678,85.298,85.912,85.298,85.551,85.551,85.551,86.439,85.932,86.439,86.185,86.439,81.635,81.635,81.635,85.932,85.932,87.833,87.833,87.579,85.678,85.678,85.678,85.932,85.932,85.805,85.171,84.918,86.185,86.185,86.185,86.185,85.425,87.579,87.579,87.579,85.298,85.298,85.298,85.551,84.537,84.918,85.805,86.692
RMNH.INS.1271302_Cq_richiardii - COX3 gene,81.635,81.761,81.635,99.747,,99.747,86.439,86.185,86.185,86.058,85.932,86.058,82.767,82.767,82.642,85.298,84.918,85.298,83.145,83.145,83.145,85.551,85.298,85.171,86.565,86.565,86.565,86.819,86.439,86.565,86.692,86.692,86.692,85.786,85.66,85.66,85.678,85.425,85.425,85.044,85.66,85.044,85.298,85.298,85.298,86.185,85.932,86.185,85.932,86.185,81.384,81.384,81.384,85.932,85.932,87.579,87.579,87.326,85.425,85.425,85.425,85.678,85.678,85.551,84.918,84.664,85.932,85.932,85.932,85.932,85.171,87.326,87.326,87.326,85.044,85.044,85.044,85.298,84.284,84.664,85.551,86.439
RMNH.INS.1271303_Cq_richiardii - COX3 gene,81.887,82.013,81.887,99.747,99.747,,86.692,86.439,86.439,86.312,86.185,86.312,82.893,82.893,82.767,85.298,85.171,85.551,83.396,83.396,83.396,85.805,85.551,85.425,86.819,86.819,86.819,86.819,86.439,86.692,86.692,86.819,86.819,85.912,85.786,85.786,85.932,85.678,85.678,85.298,85.786,85.298,85.298,85.298,85.298,86.439,86.185,86.312,86.058,86.312,81.384,81.384,81.384,86.185,86.185,87.579,87.579,87.326,85.425,85.425,85.425,85.932,85.932,85.805,85.044,84.791,86.058,85.932,85.932,85.932,85.298,87.579,87.579,87.579,85.298,85.298,85.298,85.551,84.537,84.918,85.805,86.692
RMNH.INS.1271304_Ae_vexans - COX3 gene,83.396,83.396,83.396,86.692,86.439,86.692,,99.62,99.366,87.326,87.199,87.326,84.277,84.277,84.403,86.439,86.692,86.692,84.906,84.906,84.906,89.354,89.1,88.973,86.058,86.058,86.058,91.762,91.381,91.508,91.635,92.015,92.015,90.44,90.44,90.44,90.241,89.987,89.987,89.987,90.44,89.987,89.1,89.1,89.1,87.199,87.199,91.381,91.635,91.381,83.648,83.648,83.648,87.199,87.199,87.199,87.072,86.946,86.439,86.439,86.439,90.114,90.114,89.987,89.734,89.734,91.635,91.128,91.128,91.255,90.748,89.607,89.607,89.607,89.48,89.48,89.48,90.494,89.861,89.987,89.354,86.819
RMNH.INS.1271305_Ae_vexans - COX3 gene,83.396,83.396,83.396,86.439,86.185,86.439,99.62,,99.24,87.199,87.072,87.199,84.151,84.151,84.277,86.185,86.692,86.692,85.031,85.031,85.031,89.354,89.1,88.973,86.185,86.185,86.185,91.888,91.508,91.635,91.762,92.142,92.142,90.44,90.44,90.44,90.368,90.114,90.114,90.114,90.44,90.114,88.973,88.973,88.973,87.199,87.072,91.508,91.762,91.508,83.774,83.774,83.774,87.072,87.072,87.072,86.946,86.819,86.439,86.439,86.439,90.114,90.114,89.987,89.861,89.607,91.762,91.255,91.255,91.381,90.875,89.607,89.607,89.607,89.48,89.48,89.48,90.494,89.861,89.987,89.354,86.819
RMNH.INS.1271306_Ae_vexans - COX3 gene,83.396,83.396,83.396,86.439,86.185,86.439,99.366,99.24,,87.452,87.326,87.452,84.528,84.528,84.654,86.439,86.819,86.819,84.906,84.906,84.906,89.48,89.227,89.1,86.058,86.058,86.058,91.762,91.381,91.508,91.635,91.762,91.762,90.314,90.314,90.314,90.241,89.987,89.987,89.987,90.314,89.987,89.227,89.227,89.227,87.326,87.326,91.381,91.635,91.381,83.522,83.522,83.522,87.326,87.326,87.326,87.199,87.072,86.439,86.439,86.439,89.987,89.987,89.861,89.734,89.607,91.635,91.128,91.128,91.255,90.748,89.734,89.734,89.734,89.227,89.227,89.48,90.621,89.987,90.114,89.48,86.946
RMNH.INS.1271307_Cs_annulata - COX3 gene,85.283,85.535,85.535,86.058,86.058,86.312,87.326,87.199,87.452,,99.873,99.747,85.535,85.535,85.535,88.213,88.213,88.34,85.157,85.157,85.157,87.199,86.946,86.946,90.114,90.114,90.114,87.959,87.579,87.579,87.833,87.959,87.833,86.289,86.415,86.415,85.805,85.551,85.551,85.425,86.415,85.425,86.058,86.058,86.058,95.564,99.873,87.199,87.579,87.072,85.535,85.535,85.535,99.873,99.873,88.086,87.959,87.706,88.086,88.086,88.086,86.819,86.819,86.946,86.946,86.819,87.579,87.199,87.199,87.326,86.565,87.706,87.706,87.706,85.805,85.805,85.805,87.452,87.199,87.199,87.199,88.72
